idkey,Site,Sample,Wet_weight,Dry_weight,Canopy_Depth,hours,minutes,seconds,n,wet_weight_sensed,dry_weight_sensed
Basin_Asco1b,Basin,Asco1b,39.0,13.3,1.0,13.0,51.0,31.0,40.0,10.791588145288701,3.680208264931788
Basin_Asco1c,Basin,Asco1c,39.0,13.3,1.0,15.0,19.0,45.0,40.0,10.791588145288701,3.680208264931788
Basin_Asco1,Basin,Asco1,39.0,13.3,1.0,10.0,53.0,31.0,40.0,10.791588145288701,3.680208264931788
Basin_Asco2b,Basin,Asco2b,83.3,28.7,2.8,13.0,58.0,50.0,40.0,17.103586656192334,5.892832377343577
Basin_Asco2c,Basin,Asco2c,83.3,28.7,2.8,15.0,27.0,48.0,40.0,17.103586656192334,5.892832377343577
Basin_Asco2,Basin,Asco2,83.3,28.7,2.8,11.0,0.0,12.0,40.0,17.103586656192334,5.892832377343577
Basin_Asco3b,Basin,Asco3b,161.5,47.4,4.0,14.0,6.0,40.0,40.0,18.60890158955127,5.461683810184087
Basin_Asco3c,Basin,Asco3c,161.5,47.4,4.0,15.0,35.0,14.0,40.0,18.60890158955127,5.461683810184087
Basin_Asco3,Basin,Asco3,161.5,47.4,4.0,11.0,16.0,56.0,40.0,18.60890158955127,5.461683810184087
Basin_Asco4b,Basin,Asco4b,429.3,123.8,6.6,14.0,18.0,26.0,40.0,44.64758018379034,12.875309636042964
Basin_Asco4c,Basin,Asco4c,429.3,123.8,6.6,15.0,43.0,22.0,40.0,44.64758018379034,12.875309636042964
Basin_Asco4,Basin,Asco4,429.3,123.8,6.6,11.0,25.0,36.0,40.0,44.64758018379034,12.875309636042964
Basin_Asco5b,Basin,Asco5b,851.4,252.2,9.4,14.0,26.0,53.0,40.0,76.47373643445084,22.652896792070123
Basin_Asco5c,Basin,Asco5c,851.4,252.2,9.4,15.0,51.0,1.0,40.0,76.47373643445084,22.652896792070123
Basin_Asco5,Basin,Asco5,851.4,252.2,9.4,11.0,32.0,37.0,40.0,76.47373643445084,22.652896792070123
Basin_Fucus1b,Basin,Fucus1b,34.0,7.3,2.0,14.0,35.0,9.0,40.0,12.432223486173946,2.669271513207935
Basin_Fucus1c,Basin,Fucus1c,34.0,7.3,2.0,15.0,59.0,40.0,40.0,12.432223486173946,2.669271513207935
Basin_Fucus1,Basin,Fucus1,34.0,7.3,2.0,12.0,7.0,10.0,40.0,12.432223486173946,2.669271513207935
Basin_Fucus2b,Basin,Fucus2b,70.8,17.7,4.2,14.0,44.0,20.0,41.0,12.64803701513812,3.16200925378453
Basin_Fucus2c,Basin,Fucus2c,70.8,17.7,4.2,16.0,8.0,5.0,41.0,12.64803701513812,3.16200925378453
Basin_Fucus2,Basin,Fucus2,70.8,17.7,4.2,12.0,15.0,3.0,40.0,12.64803701513812,3.16200925378453
Basin_Fucus3b,Basin,Fucus3b,169.6,37.7,6.0,14.0,53.0,11.0,40.0,22.302938144771538,4.9576696229828245
Basin_Fucus3c,Basin,Fucus3c,169.6,37.7,6.0,16.0,16.0,26.0,40.0,22.302938144771538,4.9576696229828245
Basin_Fucus3,Basin,Fucus3,169.6,37.7,6.0,12.0,23.0,4.0,40.0,22.302938144771538,4.9576696229828245
Basin_Fucus4b,Basin,Fucus4b,304.0,66.6,7.8,15.0,2.0,27.0,40.0,34.58386832195435,7.57659746790184
